               T                       Ex                     Ey                     Hx                     Hy                      Hz                      dEx/dt                      dEy/dt                      dHx/dt                      dHy/dt                      dHz/dt
     0.15848931980145D-05     0.14234482765928D-04     0.00000000000000D+00     0.00000000000000D+00     -.62635045396817D-03     0.71171333804322D-03     -.57698161524749D-03     0.00000000000000D+00     0.00000000000000D+00     -.32403276097049D+01     0.32549340455158D-01
     0.19952622096753D-05     0.14234749180309D-04     0.00000000000000D+00     0.00000000000000D+00     -.62509718245160D-03     0.71170025776718D-03     -.87426863566221D-03     0.00000000000000D+00     0.00000000000000D+00     -.28879153125188D+01     0.31702125485430D-01
     0.25118863504758D-05     0.14235006880695D-04     0.00000000000000D+00     0.00000000000000D+00     -.62369102384967D-03     0.71168413172232D-03     -.45037020291550D-03     0.00000000000000D+00     0.00000000000000D+00     -.25737580138449D+01     0.31292895755303D-01
     0.31622776077711D-05     0.14235189382036D-04     0.00000000000000D+00     0.00000000000000D+00     -.62211333663482D-03     0.71166371333692D-03     -.38488905712796D-03     0.00000000000000D+00     0.00000000000000D+00     -.22938009135014D+01     0.31786844590369D-01
     0.39810715861677D-05     0.14235459117586D-04     0.00000000000000D+00     0.00000000000000D+00     -.62034320802997D-03     0.71163760258555D-03     -.37446340349719D-03     0.00000000000000D+00     0.00000000000000D+00     -.20442433636273D+01     0.32012334750904D-01
     0.50118724175263D-05     0.14235644517634D-04     0.00000000000000D+00     0.00000000000000D+00     -.61835724736826D-03     0.71160485719113D-03     -.64482112379731D-04     0.00000000000000D+00     0.00000000000000D+00     -.18217594052939D+01     0.31603650183990D-01
     0.63095735640673D-05     0.14235485855613D-04     0.00000000000000D+00     0.00000000000000D+00     -.61612917764860D-03     0.71156406180808D-03     0.17877079522098D-03     0.00000000000000D+00     0.00000000000000D+00     -.16235120274415D+01     0.31459876610202D-01
     0.79432820712100D-05     0.14235192196957D-04     0.00000000000000D+00     0.00000000000000D+00     -.61362939779003D-03     0.71151241893484D-03     0.94562305781073D-04     0.00000000000000D+00     0.00000000000000D+00     -.14468942541496D+01     0.31833622536563D-01
     0.99999997473788D-05     0.14235137331196D-04     0.00000000000000D+00     0.00000000000000D+00     -.61082474118009D-03     0.71144673276142D-03     -.46900341346447D-04     0.00000000000000D+00     0.00000000000000D+00     -.12894590534358D+01     0.31984648836972D-01
     0.12589253856277D-04     0.14235232667938D-04     0.00000000000000D+00     0.00000000000000D+00     -.60767819020143D-03     0.71136429788956D-03     -.25237214283803D-04     0.00000000000000D+00     0.00000000000000D+00     -.11490788231563D+01     0.31703067420911D-01
